福建地方,#genre#
NewTV金牌综艺 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225884/index.m3u8
NewTV海外剧场 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225881/index.m3u8
NewTV明星大片 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225893/index.m3u8
SiTV动漫秀场 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226141/index.m3u8
SiTV极速汽车 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226140/index.m3u8
SiTV欢笑剧场 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226729/index.m3u8
SiTV欢笑剧场 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226729/index.m3u8
SiTV游戏风云 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226912/index.m3u8
上海五星体育 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226603/index.m3u8
上海纪实人文 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226958/index.m3u8
上海纪实人文 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225946/index.m3u8
湖南金鹰纪实 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226937/index.m3u8
北京冬奥纪实 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225944/index.m3u8
湖南金鹰卡通 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221227018/index.m3u8
湖南快乐垂钓 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226940/index.m3u8
湖南快乐购 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226855/index.m3u8
北京家有购物 720,http://39.135.225.5:18890/PLTV/88888888/224/3221225876/index.m3u8
百视通体育1 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226564/index.m3u8
百事通体育2 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226599/index.m3u8
百事通体育3 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226646/index.m3u8
动漫1 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226732/index.m3u8
动漫2 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226741/index.m3u8
动漫3 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226743/index.m3u8
影视1 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226708/index.m3u8
影视1 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226708/index.m3u8
影视2 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226712/index.m3u8
影视2 7M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226712/index.m3u8
影视3 3.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226631/index.m3u8
影视4 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226754/index.m3u8
影视5 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226736/index.m3u8
影视6 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226692/index.m3u8
中国教育1 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225869/index.m3u8
中国教育4 4M576,http://39.135.225.5:18890/PLTV/88888888/224/3221227050/index.m3u8
CGTN 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225822/index.m3u8
CGTN纪录 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225813/index.m3u8
东南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225833/index.m3u8
云南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225853/index.m3u8
云南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226835/index.m3u8
兵团卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226950/index.m3u8
内蒙古卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225846/index.m3u8
内蒙古卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226933/index.m3u8
吉林卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225851/index.m3u8
吉林卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226831/index.m3u8
四川卫视 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225835/index.m3u8
宁夏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225849/index.m3u8
宁夏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226843/index.m3u8
山西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225839/index.m3u8
山西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226839/index.m3u8
广西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225836/index.m3u8
广西卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226925/index.m3u8
康巴卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225856/index.m3u8
新疆卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225852/index.m3u8
新疆卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226936/index.m3u8
河北卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225837/index.m3u8
河北卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226885/index.m3u8
河南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225842/index.m3u8
海南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225855/index.m3u8
海南卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226929/index.m3u8
甘肃卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225845/index.m3u8
甘肃卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226932/index.m3u8
西藏卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221226847/index.m3u8
贵州卫视 576,http://39.135.225.5:18890/PLTV/88888888/224/3221225838/index.m3u8
陕西卫视 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225850/index.m3u8
青海卫视 3.5M576,http://39.135.225.5:18890/PLTV/88888888/224/3221225841/index.m3u8
